id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86294129,456152,468643,16,1.12,4.74,5.57,9.76,7.53,4.74,3.9,12.54,12.54,17.0,18.4,22.3,14.77,26.76,0.84,2.51,8.36,5.57,6.41,5.02,6.41,7.25,13.38,16.45,13.66,14.22,13.94,27.88,303.57,47210610,20230222
85757809,453952,468443,21,0.64,1.06,8.06,11.88,8.27,4.88,1.91,4.24,9.12,4.88,1.27,2.55,1.49,0.84,0.21,1.49,5.52,4.67,4.46,2.97,3.61,3.82,3.61,3.18,2.97,2.97,0.64,0.42,101.63,47210620,20230209
85843146,454302,469143,22,1.02,2.37,3.39,6.44,1.36,4.41,3.39,2.03,7.12,6.1,5.09,2.37,1.7,1.02,1.7,2.71,3.73,2.37,3.73,3.39,3.73,7.8,6.1,9.15,2.03,2.71,0.68,2.38,100.02,47210630,20230215
86025996,455052,469893,17,0.3,2.46,2.75,3.2,3.28,2.61,3.2,4.02,5.36,7.45,5.58,4.47,4.1,6.33,0.37,1.34,1.79,3.42,2.53,1.94,1.49,3.28,5.06,5.66,5.29,6.03,4.32,7.68,105.31,47210550,20230223
86269750,456052,468593,9,0.84,1.48,3.37,3.79,3.79,4.85,4.21,8.01,8.43,14.33,16.02,9.9,7.59,14.54,0.84,1.9,4.0,3.37,4.0,3.58,2.32,5.69,8.85,11.59,9.9,11.59,11.38,13.48,193.64,47210610,20230214
86269750,456052,468593,18,0.21,2.74,6.53,7.37,9.06,6.53,5.27,7.79,10.74,18.75,20.85,14.75,12.64,18.76,1.26,2.74,6.32,6.74,5.69,2.74,4.0,7.37,10.11,15.17,13.48,14.54,13.9,19.59,265.64,47210610,20230206
86269750,456052,468593,20,0.63,3.37,5.05,6.31,6.31,7.79,4.0,8.0,10.1,11.57,18.31,11.99,10.31,19.57,1.26,2.95,4.84,5.05,7.58,2.95,5.47,7.15,9.89,14.52,10.94,13.47,14.1,20.83,244.31,47210610,20230207
86269750,456052,468593,21,1.47,2.52,6.51,5.04,7.14,3.99,2.73,7.77,10.5,11.55,14.29,9.87,10.71,18.9,2.31,1.47,4.83,5.88,4.2,4.41,5.88,4.2,10.71,11.34,10.92,10.71,11.34,18.27,219.46,47210610,20230226
86281939,456102,468593,14,0.6,2.62,3.83,5.24,3.23,3.02,2.42,7.26,7.86,12.1,13.1,12.1,8.47,17.14,0.6,2.02,4.44,5.04,3.83,2.62,3.43,7.06,9.88,12.1,11.49,13.91,12.1,20.36,207.87,47210610,20230223
86281939,456102,468593,22,1.01,3.44,4.25,5.26,7.89,4.85,3.24,7.48,9.91,12.34,11.33,11.73,9.51,18.19,1.42,3.24,5.66,5.46,4.04,2.02,6.27,3.64,7.08,9.51,9.91,11.93,8.9,17.8,207.31,47210610,20230217
86294128,456152,468593,15,0.59,0.98,2.25,2.55,2.65,2.84,1.27,3.04,5.19,5.29,5.98,6.08,4.02,7.35,0.49,1.57,2.84,1.96,3.33,1.37,1.67,2.94,3.92,6.76,4.8,6.27,5.29,9.3,102.59,47210610,20230219
86294129,456152,468643,9,1.94,2.49,3.88,4.99,5.54,6.37,4.43,9.7,10.8,15.51,20.78,13.57,13.02,20.22,1.39,1.66,6.09,4.43,8.59,2.22,4.43,6.09,10.25,15.51,10.8,16.34,15.51,20.5,257.05,47210610,20230221
86294129,456152,468643,12,0.28,1.66,5.27,6.93,8.59,6.1,6.37,11.36,10.53,16.63,18.57,13.02,13.58,20.79,0.55,2.77,6.37,8.87,6.93,4.43,3.88,8.04,15.24,11.36,15.24,16.9,14.69,22.17,277.12,47210610,20230203
86294129,456152,468643,22,0.28,3.35,6.42,4.74,9.21,6.14,3.63,9.77,12.0,18.97,21.2,15.62,12.83,24.55,1.67,2.23,6.7,6.42,5.86,4.46,4.46,5.02,10.88,15.62,14.79,16.46,15.62,27.34,286.24,47210610,20230220
86269750,456052,468593,22,1.05,3.58,4.42,5.48,8.22,5.06,3.37,7.8,10.32,12.85,11.8,12.22,9.9,18.96,1.47,3.37,5.9,5.69,4.21,2.11,6.53,3.79,7.37,9.9,10.32,12.43,9.27,18.54,215.93,47210610,20230217
86281938,456102,468543,16,0.98,4.14,4.87,8.52,6.57,4.14,3.41,10.95,10.95,14.85,16.07,19.47,12.9,23.37,0.73,2.19,7.3,4.87,5.6,4.38,5.6,6.33,11.68,14.36,11.93,12.41,12.17,24.34,265.08,47210610,20230222
86281938,456102,468543,20,0.97,3.65,3.65,8.28,8.53,5.6,6.09,9.99,13.4,18.51,20.22,14.86,14.13,24.35,1.95,1.46,5.85,4.87,6.33,4.14,7.55,6.09,12.42,17.54,17.3,15.35,16.81,22.16,292.05,47210610,20230216
86281939,456102,468593,14,0.4,2.25,4.5,4.5,6.14,3.89,4.3,5.32,9.41,13.1,13.92,11.67,11.87,22.51,0.82,1.64,3.68,5.12,3.89,2.46,3.68,6.55,9.0,14.33,14.12,15.35,13.1,25.17,232.69,47210610,20230215
86281939,456102,468593,21,0.81,2.64,4.88,6.51,7.12,7.32,3.46,8.75,9.76,16.88,16.27,13.63,11.8,17.49,0.81,2.24,4.47,3.66,6.31,2.24,4.07,4.27,9.97,14.64,12.2,13.83,11.8,16.87,234.7,47210610,20230228
86294126,456152,468493,15,1.44,2.88,4.73,5.55,6.79,4.11,2.06,10.08,6.99,13.17,17.49,15.22,9.87,22.01,0.62,1.03,3.91,2.88,4.73,2.47,6.17,3.91,8.43,10.08,12.55,17.07,12.14,21.81,230.19,47210610,20230225
86294126,456152,468493,17,0.62,2.67,6.79,7.2,5.35,4.73,3.5,10.08,10.9,13.37,15.63,16.46,12.14,20.98,0.82,1.65,5.55,8.23,4.53,3.09,4.32,5.97,11.52,16.05,12.34,12.34,14.19,18.92,249.94,47210610,20230222
86294127,456152,468543,16,1.22,3.46,5.49,7.12,5.69,4.68,3.05,7.93,8.54,13.02,14.24,12.81,10.57,17.48,1.22,2.24,5.29,5.29,5.49,2.24,3.86,5.69,7.93,14.44,10.78,10.37,10.57,18.91,219.62,47210610,20230212
86294129,456152,468643,20,0.84,4.75,7.54,9.49,9.77,9.49,4.19,10.33,17.03,15.63,23.17,20.1,15.08,30.71,1.12,3.35,11.45,6.14,6.98,3.07,6.14,6.98,17.31,19.26,17.03,17.03,15.35,25.95,335.28,47210610,20230213
86294129,456152,468643,23,0.84,3.9,4.45,3.62,8.07,4.17,2.5,10.02,7.51,14.75,18.92,13.36,12.24,24.2,1.39,3.06,5.84,6.96,4.45,2.5,4.45,5.56,12.8,15.58,13.08,13.63,14.75,23.09,255.69,47210610,20230214
85916253,454602,467793,20,1.09,2.79,4.2,4.02,3.84,3.93,4.02,5.3,5.03,5.48,3.84,3.43,1.87,3.06,1.55,3.43,4.16,2.92,3.24,3.38,3.02,5.12,6.21,6.12,5.25,3.75,2.24,3.24,105.53,47210620,20230221
86269750,456052,468593,13,1.05,2.53,5.28,5.7,6.34,4.22,5.49,7.18,11.41,11.19,16.26,11.83,15.21,23.02,0.84,2.53,5.7,6.13,4.44,3.38,4.22,6.55,12.25,17.32,15.84,14.15,15.63,24.72,260.41,47210610,20230215
