id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86025994,455052,469793,11,1.13,1.58,6.78,1.66,3.62,3.24,3.77,3.47,5.43,5.27,6.78,6.03,4.52,7.39,1.13,5.05,1.66,1.88,3.77,2.19,2.34,3.16,6.41,5.65,5.35,7.31,5.27,7.38,119.22,47210550,20230913
86038184,455102,469843,11,0.86,1.24,6.02,1.77,3.14,2.49,2.36,3.67,4.85,4.91,5.04,5.5,3.6,6.29,0.92,3.08,2.49,1.11,3.99,1.77,1.77,2.49,5.43,5.43,4.45,6.02,4.45,6.74,101.88,47210550,20230912
86038185,455102,469893,14,1.52,1.41,5.39,1.76,2.75,2.69,2.46,3.4,3.87,6.27,4.69,5.98,3.98,7.96,0.47,3.75,2.64,1.87,3.63,2.52,1.87,3.16,4.28,5.39,5.1,5.51,4.04,5.5,103.86,47210550,20230901
86269750,456052,468593,18,0.42,2.75,8.04,7.2,9.1,8.68,6.14,6.35,14.6,18.2,22.22,18.2,15.03,22.43,0.85,2.12,7.41,8.04,10.16,5.71,5.08,6.77,12.7,17.35,11.64,13.97,13.54,22.22,296.92,47210610,20230927
86281938,456102,468543,16,1.7,2.43,5.34,5.1,8.01,6.31,4.37,9.23,10.68,18.7,19.42,14.57,13.35,22.1,2.43,1.46,7.28,5.34,7.28,3.4,6.07,4.86,9.95,16.02,15.3,12.63,15.05,22.58,270.96,47210610,20230917
86281938,456102,468543,19,2.91,6.07,8.49,17.72,17.72,12.14,8.74,14.8,19.17,25.48,24.76,18.69,16.5,21.36,1.94,3.64,8.25,13.59,13.83,8.49,9.95,11.89,20.63,25.48,16.99,18.45,15.53,25.72,408.93,47210610,20230929
86294128,456152,468593,21,0.09,0.85,1.8,1.71,3.61,2.66,0.85,4.75,5.89,5.98,7.02,5.98,5.89,8.34,0.38,1.14,2.85,2.09,3.13,1.61,2.37,2.09,4.18,5.7,5.7,7.59,5.79,8.92,108.96,47210610,20230918
86294128,456152,468593,23,0.79,1.28,3.15,2.37,4.14,3.94,2.46,4.04,5.32,6.11,7.89,5.91,4.63,7.89,0.59,0.99,2.37,3.15,3.75,2.27,2.37,3.35,4.83,7.49,4.04,6.31,5.32,7.79,114.54,47210610,20230930
85867493,454402,467593,20,1.3,3.98,3.89,4.63,5.83,3.84,4.91,4.77,6.11,6.34,4.03,2.18,1.62,1.8,1.16,3.75,1.71,3.98,3.56,3.19,3.61,6.94,6.11,6.39,3.98,2.82,1.43,1.3,105.16,47210620,20230904
86269750,456052,468593,15,1.48,1.48,1.27,4.85,6.12,4.64,1.69,7.81,11.82,9.71,14.98,14.14,13.72,17.52,0.63,1.9,3.8,2.95,3.8,3.17,4.64,5.91,7.81,13.29,13.5,15.62,10.34,18.99,217.58,47210610,20230918
86281938,456102,468543,7,0.49,1.47,4.64,2.69,4.15,4.88,4.64,5.13,7.81,10.26,11.48,11.72,9.52,14.66,0.24,1.47,2.2,3.91,2.44,2.44,1.71,1.71,4.88,8.3,7.57,9.28,9.52,13.42,162.63,47210610,20230910
86281939,456102,468593,8,2.24,3.06,0.82,3.26,6.12,5.92,3.06,7.55,8.36,11.83,15.09,11.22,10.81,13.67,1.84,4.69,2.65,2.04,3.06,1.84,5.1,3.88,5.71,7.95,8.57,11.42,9.38,16.73,187.87,47210610,20230921
86294126,456152,468493,7,0.21,0.82,1.03,1.44,3.91,3.91,2.47,6.99,7.41,10.08,14.19,10.29,9.46,15.43,0.0,1.03,1.85,0.82,2.26,2.06,2.06,2.06,5.35,6.38,6.79,10.29,8.64,10.7,147.93,47210610,20230905
86294127,456152,468543,6,1.01,1.02,2.44,3.05,3.05,2.85,3.46,3.66,4.27,7.93,10.17,7.32,6.1,9.96,0.41,0.41,1.83,2.03,2.64,1.42,3.46,2.64,4.07,5.9,4.07,7.32,4.47,8.54,115.5,47210610,20230909
86294128,456152,468593,13,0.66,1.14,3.32,1.33,2.18,2.37,2.18,3.32,4.55,5.79,7.02,5.41,5.03,8.91,0.18,1.04,2.66,2.09,2.94,1.42,1.61,2.47,3.32,4.84,5.12,5.5,5.69,9.48,101.57,47210610,20230910
85757809,453952,468443,18,0.82,3.68,11.23,12.66,6.54,3.47,2.45,5.11,6.74,8.78,3.68,2.04,1.43,1.83,0.0,6.54,15.32,8.37,4.29,3.27,2.25,4.9,6.54,7.15,3.47,2.45,1.02,1.22,137.25,47210620,20230909
85867501,454402,467993,11,1.63,7.93,8.03,2.58,3.09,2.61,2.48,3.38,3.92,5.1,6.85,7.61,5.13,8.21,1.75,5.89,6.72,1.18,1.88,1.88,1.66,3.5,4.55,5.35,5.26,5.57,3.95,6.08,123.77,47210620,20230908
85904068,454552,467993,10,1.69,7.36,8.35,2.49,2.78,2.22,2.19,2.69,3.65,5.04,6.76,8.25,4.18,7.16,1.69,5.3,6.9,0.99,1.96,1.59,1.52,3.28,3.98,5.27,5.24,5.4,3.85,5.5,117.28,47210620,20230908
86281939,456102,468593,7,0.8,1.2,1.81,3.21,4.21,4.21,3.41,4.41,7.62,7.02,8.43,8.63,7.82,12.04,0.6,1.0,1.4,3.01,2.21,1.4,1.6,2.21,5.02,6.62,7.22,9.63,9.63,10.44,136.81,47210610,20230916
86281939,456102,468593,10,1.23,2.26,0.62,3.29,4.11,6.17,3.7,7.2,9.46,8.84,17.69,10.28,11.93,17.07,2.27,3.08,2.06,3.5,5.35,1.65,3.08,4.73,9.05,11.11,8.02,11.93,8.23,15.43,193.34,47210610,20230908
86281939,456102,468593,12,1.6,3.2,3.6,4.81,5.01,4.21,2.6,5.21,7.41,11.61,15.82,11.01,10.21,15.82,1.2,0.8,3.6,3.8,4.61,3.2,6.01,2.4,7.81,12.02,9.21,12.42,9.81,15.41,194.42,47210610,20230917
86294129,456152,468643,17,0.83,1.93,3.87,3.87,9.67,9.11,5.52,11.05,12.71,19.61,29.55,17.95,19.06,25.68,0.83,3.04,6.08,3.87,8.01,4.97,4.97,6.9,15.19,14.36,15.19,20.71,18.78,29.0,322.31,47210610,20230912
86025996,455052,469893,22,0.63,1.82,5.54,2.06,2.77,3.01,2.45,3.4,4.99,7.68,4.51,6.33,3.32,7.84,0.55,1.66,2.37,1.66,2.06,1.58,2.53,2.77,4.11,6.25,5.22,5.94,4.27,8.14,105.46,47210550,20230921
86038184,455102,469843,15,0.99,1.78,5.66,1.38,3.1,2.5,2.11,2.9,3.62,6.19,5.47,5.53,3.49,6.0,0.66,5.2,3.36,1.91,3.16,2.3,2.57,3.16,5.73,4.81,4.28,4.15,4.21,6.53,102.75,47210550,20230915
86281938,456102,468543,13,2.69,5.14,0.49,5.38,5.63,4.89,3.43,8.81,10.52,15.42,22.02,19.09,17.13,30.34,1.96,4.65,4.65,3.67,6.61,3.67,5.38,7.59,10.52,14.93,14.93,15.17,17.62,27.65,289.98,47210610,20230920
86281939,456102,468593,20,2.44,7.93,9.76,14.64,20.34,9.56,8.54,16.47,20.13,16.88,21.96,19.52,13.62,19.92,1.22,4.88,7.52,8.95,11.18,4.47,8.54,11.18,15.25,18.91,18.51,12.81,13.62,19.92,358.67,47210610,20230928
86294126,456152,468493,10,1.44,3.09,6.99,8.43,10.29,9.67,3.91,9.26,9.87,15.63,15.84,12.75,11.93,20.77,0.62,2.47,5.35,6.99,8.23,4.94,6.58,5.97,11.93,10.49,11.11,12.34,12.96,12.55,252.4,47210610,20230928
86294126,456152,468493,13,2.26,1.85,1.44,3.7,6.99,5.76,4.94,8.02,9.26,10.49,15.84,13.99,9.87,19.12,3.29,3.09,4.94,3.7,5.35,2.88,4.53,5.55,9.67,11.52,9.67,14.4,14.19,16.87,223.18,47210610,20230912
86294129,456152,468643,19,1.11,1.66,6.36,4.43,8.85,10.79,5.81,12.45,17.15,19.64,27.11,19.08,22.13,29.87,0.55,1.11,9.4,3.6,10.79,6.91,4.98,8.57,11.62,23.51,18.26,21.02,19.64,33.74,360.14,47210610,20230925
85867493,454402,467593,21,1.16,3.52,4.3,4.92,4.15,4.63,4.25,5.89,6.32,4.83,3.57,2.32,1.3,1.97,1.11,2.94,2.75,3.52,4.01,2.99,3.33,6.32,6.61,5.31,3.38,2.7,1.64,0.97,100.71,47210620,20230903
