id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
85879686,454452,467793,18,2.0,4.51,2.37,3.72,3.58,3.53,3.95,4.83,4.41,6.04,4.23,3.81,2.32,2.56,1.96,5.58,2.42,3.02,4.83,3.53,3.16,5.62,7.11,7.16,5.62,4.0,2.28,3.76,111.91,47210620,20230317
85904064,454552,467793,18,1.6,3.62,2.4,3.99,3.66,3.7,3.7,4.75,4.88,5.47,3.99,3.11,2.02,2.94,1.51,5.84,2.1,3.41,4.08,3.11,2.77,5.51,6.43,5.89,5.51,3.28,1.77,3.24,104.28,47210620,20230315
86025996,455052,469893,10,0.74,1.56,6.22,2.22,3.41,3.48,2.44,3.63,5.33,4.81,6.15,5.48,4.96,7.56,0.96,2.37,1.11,2.37,3.33,2.52,2.22,3.7,4.67,5.55,5.26,6.29,4.67,6.6,109.61,47210550,20230330
86269750,456052,468593,7,0.63,1.26,2.73,1.89,3.36,2.73,1.89,2.94,4.83,9.25,10.3,6.1,7.78,7.98,0.42,0.63,1.89,2.1,2.73,3.36,1.89,2.52,3.57,8.41,6.94,6.1,7.15,10.3,121.68,47210610,20230319
86294127,456152,468543,12,2.65,3.05,1.02,4.07,5.08,4.88,4.07,10.17,11.59,13.22,17.49,12.0,8.95,18.31,1.42,4.47,2.24,3.05,6.92,3.86,3.25,5.69,7.73,14.03,10.78,10.37,11.19,17.7,219.25,47210610,20230307
86294127,456152,468543,18,1.83,2.44,4.88,4.07,5.08,5.69,3.25,7.52,10.78,14.03,16.07,13.63,11.19,19.53,1.22,1.83,4.68,6.1,6.3,3.25,4.68,4.68,8.95,13.42,12.0,13.02,13.22,18.3,231.64,47210610,20230326
86294128,456152,468593,20,0.48,0.86,2.87,2.01,3.55,2.97,1.44,2.97,5.27,7.0,6.32,7.19,4.79,9.2,0.48,1.05,2.68,2.3,2.4,2.01,2.3,2.3,4.7,6.8,6.23,6.32,5.85,8.72,111.06,47210610,20230317
86294129,456152,468643,14,1.95,2.5,1.11,5.56,6.67,3.61,4.17,10.56,12.79,14.73,19.74,17.79,13.62,24.45,2.51,3.34,5.56,7.23,7.23,4.45,6.12,8.62,13.07,17.24,12.79,13.34,15.57,25.86,282.18,47210610,20230329
86269750,456052,468593,10,1.48,2.53,0.63,4.22,5.7,2.74,3.16,7.6,10.13,12.66,11.6,10.13,12.24,14.14,2.74,3.16,4.85,3.16,4.01,2.53,3.59,6.12,9.28,13.29,9.92,9.92,12.45,16.88,200.86,47210610,20230309
86269750,456052,468593,12,2.11,2.11,1.27,2.74,6.12,5.7,4.01,9.7,11.39,12.24,14.98,11.18,9.7,16.66,1.69,3.38,4.85,3.59,5.27,4.43,4.22,6.75,10.34,16.03,10.55,12.24,10.34,18.14,221.73,47210610,20230322
86269750,456052,468593,23,1.05,2.11,3.37,2.95,7.17,4.85,2.11,7.17,8.85,13.28,13.49,8.43,10.75,18.33,1.05,1.48,5.06,5.27,5.06,2.11,4.43,5.27,7.38,9.91,8.85,9.7,10.75,16.65,196.88,47210610,20230304
86281938,456102,468543,11,1.46,2.19,4.13,4.13,6.56,4.86,3.16,5.59,8.02,13.37,16.78,14.34,11.91,19.45,1.46,1.94,4.62,4.62,5.11,3.89,4.86,5.11,8.51,14.34,11.67,12.4,14.34,21.15,229.97,47210610,20230312
86281938,456102,468543,15,1.46,1.71,1.46,6.34,7.8,6.58,2.68,8.53,11.94,12.43,17.79,16.09,11.7,23.16,1.22,1.71,2.92,4.39,6.09,3.66,4.14,8.29,11.21,17.06,12.67,14.62,14.62,24.86,257.13,47210610,20230307
86281939,456102,468593,21,1.21,2.43,5.87,4.25,4.25,4.05,2.83,6.48,6.68,14.17,15.99,14.37,10.73,19.02,0.81,1.82,4.66,5.26,3.85,2.63,4.86,5.67,9.31,14.98,13.36,11.54,12.35,17.0,220.43,47210610,20230325
86294126,456152,468493,12,2.47,2.47,0.21,3.7,5.35,3.5,2.88,11.52,6.79,12.96,13.37,13.78,11.31,19.74,1.85,4.11,2.26,3.91,5.35,4.32,4.73,6.79,9.87,15.22,12.34,12.34,11.52,16.87,221.53,47210610,20230308
86294128,456152,468593,18,0.86,1.05,2.01,2.97,3.64,2.78,1.73,2.3,5.46,5.75,8.05,8.15,5.65,8.73,0.57,1.53,2.3,2.4,2.59,1.25,2.59,2.78,3.74,6.71,5.75,7.19,7.0,9.02,114.55,47210610,20230325
86294129,456152,468643,19,1.39,3.06,5.56,8.9,6.68,5.56,4.73,7.23,13.91,18.09,22.26,18.92,15.86,25.59,1.39,2.5,6.4,5.01,6.96,2.5,8.35,8.07,11.96,17.53,16.42,19.76,21.15,27.27,313.01,47210610,20230325
86269750,456052,468593,6,0.63,0.84,1.05,2.95,4.43,3.16,1.26,4.0,4.64,6.95,6.95,6.32,5.27,6.74,0.84,0.63,1.26,1.9,2.53,1.9,1.9,3.58,4.85,4.85,5.06,6.74,2.95,6.95,101.13,47210610,20230325
86281938,456102,468543,8,2.19,1.95,1.71,4.14,4.88,4.63,2.93,8.04,8.78,11.7,14.14,9.51,9.99,10.96,2.19,4.14,2.68,2.68,3.66,3.41,2.93,3.66,6.09,10.48,7.8,10.97,11.21,13.16,180.61,47210610,20230306
86294126,456152,468493,9,1.03,1.44,3.29,2.88,7.2,5.14,4.53,7.41,5.97,11.73,12.96,9.05,9.67,13.16,1.23,0.82,2.88,3.09,5.14,2.67,3.29,3.91,7.82,10.29,9.05,10.7,8.43,12.75,177.53,47210610,20230325
86294126,456152,468493,16,1.24,2.06,1.85,3.09,5.55,3.7,3.5,8.23,11.11,9.46,15.22,12.55,10.9,18.73,0.62,1.85,2.88,3.7,4.11,3.7,4.53,7.61,10.7,14.61,13.17,11.31,11.73,18.92,216.63,47210610,20230322
86294129,456152,468643,10,1.66,3.32,1.38,3.87,5.81,3.87,3.6,8.3,7.75,17.71,19.09,17.43,13.84,26.56,2.77,4.15,4.98,3.32,6.36,5.53,5.81,6.36,10.79,17.71,19.37,16.05,16.33,24.62,278.34,47210610,20230315
85757809,453952,468443,19,0.41,2.48,6.21,4.76,7.24,6.41,2.69,4.55,7.45,6.21,2.69,2.9,0.21,0.41,0.62,4.35,5.38,4.14,4.97,4.55,2.69,5.17,6.21,3.93,1.86,2.48,1.45,0.62,103.04,47210620,20230320
85891879,454502,467993,18,1.23,3.46,3.18,3.14,3.62,3.46,3.74,4.58,5.09,4.78,4.18,3.5,2.11,2.23,2.07,5.41,1.95,3.26,2.94,3.42,2.63,5.49,6.13,5.93,4.62,3.62,1.95,2.83,100.55,47210620,20230302
85904065,454552,467843,18,1.98,4.92,2.99,3.77,4.35,4.35,3.91,4.83,5.7,5.94,4.97,4.49,1.93,3.09,1.89,6.71,1.93,3.72,4.97,3.77,2.56,5.89,7.92,7.19,5.7,4.25,2.56,4.21,120.49,47210620,20230306
86025994,455052,469793,11,0.91,1.68,7.05,1.26,2.79,2.37,2.79,3.35,4.89,4.96,6.14,5.23,3.98,9.08,0.77,2.51,0.84,1.81,2.16,1.81,2.79,3.56,5.37,5.79,5.58,6.56,4.68,6.56,107.27,47210550,20230317
