정류장ID,정류장명,위도,경도
356000438,임곡2리.한밤실,37.001223,128.661789
356000440,임곡2리.한밤실,37.001213,128.661656
356000383,임실,36.884241,128.524538
356000369,임실,36.884204,128.524664
356000075,자인병원,36.815076,128.606139
356000057,장가네매운탕앞,36.819828,128.627255
356000633,장미마을아파트,36.832367,128.638748
356000447,장미마을아파트,36.833864,128.637997
356000192,장수,36.773834,128.572319
356000197,장수,36.773508,128.571993
356000188,장수농공단지,36.785501,128.591449
356000201,장수농공단지,36.785537,128.591579
356000034,장춘당약국,36.823894,128.62523
356000124,적동1리,36.772365,128.631308
356000095,적동1리,36.772075,128.631177
356000183,적동2리,36.787349,128.636988
356000167,적동2리,36.787293,128.636874
356000126,적동리,36.789905,128.636457
356000093,적동리,36.789869,128.63633
356000094,적동리.장암,36.780351,128.632164
356000125,적동리.장암,36.780334,128.632295
356000097,적동리삼거리,36.765863,128.629099
356000122,적동리삼거리,36.76577,128.629172
356000323,전구리,36.871497,128.481311
356000342,전구리,36.877887,128.506388
356000319,전구리,36.871599,128.481342
356000361,전구리,36.877782,128.506352
356000322,전구리마을회관,36.873217,128.484127
356000321,전구리마을회관,36.873243,128.484182
356000710,점마,36.954027,128.554635
356000820,제궁마,36.936486,128.633879
356000803,제궁마,36.936432,128.633996
356000064,제일고등학교,36.83057,128.607392
356000029,제일고등학교앞,36.830426,128.607252
356000635,제일고후문,36.832475,128.609922
356000022,제일고후문,36.832483,128.609786
356000031,제일교회,36.827757,128.622967
356000017,제일교회,36.827904,128.621495
356000127,조암동,36.797148,128.631273
356000765,조와동,36.874797,128.637628
356000790,조와동,36.87482,128.637497
356000764,조와리,36.872114,128.637119
356000791,조와리,36.871955,128.636979
356000751,조재기,36.978356,128.59489
356000753,조재기,36.978257,128.594822
356000110,조제2리,36.719409,128.584949
356000143,조제리.삼계,36.717602,128.596053
356000112,조제리.삼계,36.717546,128.595935
356000153,종릉,36.760241,128.652621
356000179,종릉,36.760132,128.652651
356000752,좌석,36.982685,128.584424
356000061,주공3단지,36.824893,128.612004
356000024,주공3단지,36.827226,128.611666
356000025,주공3단지,36.824976,128.611821
356000062,주공3단지,36.827043,128.611802
356000338,줄포,36.834118,128.579798
356000337,줄포,36.834103,128.576307
356000304,줄포,36.834198,128.57981
356000305,줄포,36.834157,128.576189
356000467,중앙시장,36.825333,128.620634
356000315,지경터경로당,36.872706,128.509178
356000327,지경터경로당,36.872613,128.509164
356000491,지곡1리,36.701009,128.709941
356000492,지곡1리,36.700918,128.71002
356000606,지동1리,36.8321,128.719356
356000605,지동1리,36.832058,128.719238
356000599,지동1리,36.833988,128.71397
356000601,지동1리,36.834015,128.713863
356000600,지동1리,36.836749,128.718974
356000689,지동1리.재배.못골,36.888012,128.582196
356000678,지동1리.재배.못골,36.888038,128.582327
356000688,지동2리,36.892114,128.582471
356000679,지동2리,36.892114,128.582606
356000578,지동2리,36.848394,128.721548
356000580,지동2리,36.850123,128.724855
356000579,지동2리,36.850033,128.724939
356000581,지동2리,36.848504,128.721543
356000577,지동3리.장수골,36.844542,128.708246
356000582,지동3리.장수골,36.844651,128.708219
356000680,지동3리.호방골,36.898981,128.580967
356000687,지동3리.호방골,36.898925,128.580851
356000690,지동리,36.884733,128.58562
356000717,지동리,36.885888,128.59297
356000677,지동리,36.884819,128.585706
356000736,지동리,36.885953,128.592839
356000792,진우,36.868402,128.63621
356000763,진우,36.868419,128.636343
356000358,창락1리,36.88538,128.481527
356000346,창락1리,36.885495,128.481678
356000359,창락리,36.88419,128.486712
356000345,창락리,36.884279,128.486757
356000654,창진,36.842536,128.599224
356000637,창진,36.842645,128.599239
