id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86025996,455052,469893,12,1.04,1.99,9.64,1.51,2.79,2.71,2.15,3.67,4.62,5.66,7.01,5.5,4.22,7.89,0.96,3.35,3.43,1.99,5.18,2.47,2.55,4.06,5.74,7.41,5.9,7.01,4.78,7.33,122.56,47210550,20231016
86269750,456052,468593,6,0.42,1.26,4.21,1.26,1.68,2.53,3.37,2.95,5.05,8.42,7.16,6.74,5.9,9.26,0.21,1.26,1.89,2.11,2.74,1.68,2.11,2.95,3.79,3.79,4.63,6.53,6.32,6.1,106.32,47210610,20231008
86269750,456052,468593,12,0.84,2.11,3.16,4.21,5.47,4.21,2.53,6.1,6.74,12.42,14.31,12.42,12.84,14.74,0.63,2.53,4.63,2.95,5.47,3.79,3.16,3.58,6.32,7.79,11.16,11.16,11.37,14.96,191.6,47210610,20231021
86269750,456052,468593,20,1.89,1.89,5.47,2.32,7.16,6.74,1.89,8.0,9.47,18.53,18.95,17.9,12.21,20.01,0.42,2.74,6.74,3.37,5.68,1.47,3.58,5.68,9.26,13.69,12.21,11.79,14.95,21.88,245.89,47210610,20231008
86281938,456102,468543,12,1.71,3.43,2.2,6.61,8.57,6.37,5.88,11.02,8.57,14.7,20.82,15.43,17.15,24.25,1.47,3.43,3.43,4.16,6.37,4.41,4.16,6.12,8.33,13.47,14.45,15.43,14.45,27.43,273.82,47210610,20231020
86294126,456152,468493,3,1.65,2.06,6.38,5.97,8.02,6.38,5.14,5.14,4.94,6.58,7.82,4.53,3.5,4.53,1.44,2.26,3.5,6.58,4.32,3.09,3.5,3.7,4.53,5.97,4.73,4.11,2.06,6.59,129.02,47210610,20231001
86294127,456152,468543,18,1.02,1.42,3.87,5.49,6.71,5.7,5.49,6.92,9.15,16.27,17.29,13.83,16.07,23.79,1.02,2.24,4.07,4.48,6.71,2.44,3.25,3.66,9.97,13.22,11.6,15.46,11.19,21.97,244.3,47210610,20231010
86294129,456152,468643,21,1.11,1.11,6.94,4.16,11.93,8.88,1.39,10.82,14.15,16.93,19.15,18.32,16.37,28.04,0.56,4.44,7.49,3.05,9.16,5.27,3.61,7.77,12.77,15.26,15.26,17.21,17.48,26.37,305.0,47210610,20231016
86025994,455052,469793,9,0.97,1.72,7.09,0.97,3.43,2.69,2.39,3.21,5.52,5.3,5.97,6.57,4.11,7.77,0.97,2.76,2.69,1.72,2.91,1.94,2.76,3.81,5.52,5.37,5.08,4.55,4.7,6.65,109.14,47210550,20231011
86025994,455052,469793,15,0.96,2.16,5.82,1.57,3.28,2.39,2.31,3.58,3.88,5.74,5.59,5.37,3.5,8.13,0.37,5.89,3.36,1.64,4.77,2.46,2.09,3.13,5.37,5.29,5.52,6.26,5.14,7.9,113.47,47210550,20231020
86025994,455052,469793,20,0.67,1.65,7.2,1.72,2.77,1.95,2.55,3.97,5.32,5.55,5.47,6.45,3.97,7.65,0.59,1.95,3.3,1.8,2.85,2.25,2.55,2.92,4.2,6.15,6.07,6.3,4.95,6.81,109.58,47210550,20231023
86281938,456102,468543,17,0.49,1.46,5.85,3.66,7.56,6.83,3.9,10.25,14.15,16.59,19.76,18.3,17.32,24.4,0.49,2.44,3.66,3.66,7.81,4.39,4.88,6.34,10.25,14.39,12.2,17.56,14.39,25.37,278.35,47210610,20231016
86294126,456152,468493,8,2.06,3.09,0.62,3.09,5.35,4.11,2.06,6.99,7.82,10.7,15.22,15.22,9.87,15.42,1.03,3.29,3.5,2.26,5.97,3.09,3.91,3.09,7.2,8.64,9.87,9.87,9.87,15.63,188.84,47210610,20231027
86294126,456152,468493,14,0.82,2.47,5.55,2.47,6.17,3.91,3.5,5.14,5.97,9.05,12.55,9.67,10.7,17.49,0.41,2.26,4.32,1.44,5.76,3.7,2.26,2.88,7.41,9.67,11.93,12.34,12.96,23.45,196.25,47210610,20231021
86294128,456152,468593,16,0.67,0.57,2.1,1.43,3.24,2.38,1.33,4.0,4.48,4.76,8.0,8.09,5.43,8.1,0.29,0.67,1.52,1.24,2.67,2.1,0.95,3.43,3.14,6.09,6.57,6.0,8.09,10.28,107.62,47210610,20231017
86294129,456152,468643,6,0.27,1.65,3.02,3.57,5.49,4.39,3.02,4.39,7.41,11.8,10.16,12.63,9.61,15.09,0.27,0.82,1.37,1.65,2.47,2.2,2.74,3.29,3.57,6.86,5.22,8.51,6.59,9.61,147.67,47210610,20231010
86294129,456152,468643,9,1.94,1.67,3.61,3.61,5.55,5.28,5.0,5.55,8.89,15.27,16.94,16.66,14.44,18.89,0.0,1.39,3.61,2.78,3.61,4.17,3.61,7.5,8.89,14.44,12.5,14.16,15.83,19.45,235.24,47210610,20231015
85879686,454452,467793,19,1.11,3.37,2.92,2.92,4.42,3.57,4.02,5.13,5.98,6.03,4.67,4.47,2.66,3.62,2.01,4.52,2.61,2.61,4.37,3.47,2.97,5.38,5.88,6.89,5.93,4.02,2.31,3.97,111.83,47210620,20231023
86025996,455052,469893,13,1.52,3.04,6.95,2.32,3.52,3.44,2.56,4.08,4.88,6.95,5.91,7.11,5.28,9.36,0.96,2.8,2.0,2.4,3.84,2.88,2.48,3.84,5.83,6.47,6.31,5.43,5.43,7.6,125.19,47210550,20231004
86269750,456052,468593,18,1.27,2.32,5.27,4.64,5.06,6.75,3.37,8.01,10.12,14.76,17.92,13.28,14.55,16.86,0.84,2.11,2.74,2.95,6.75,4.22,2.74,7.59,9.49,14.34,12.86,14.76,12.44,20.46,238.47,47210610,20231015
86281939,456102,468593,21,0.2,1.82,5.47,6.08,4.87,4.46,3.24,6.89,8.72,13.18,13.58,9.93,14.39,17.65,0.61,2.64,5.68,3.45,7.7,3.65,3.85,4.87,7.91,11.56,11.76,10.75,13.38,17.64,215.93,47210610,20231028
86294126,456152,468493,10,2.06,3.09,0.62,3.5,6.17,3.09,2.67,5.35,8.85,10.9,16.46,14.61,9.46,18.11,0.82,3.29,2.67,3.29,4.53,2.67,4.11,6.79,10.9,9.46,10.29,10.49,8.64,22.84,205.73,47210610,20231027
86294126,456152,468493,23,0.82,0.82,5.55,3.91,4.94,5.35,1.03,6.17,7.61,13.99,13.37,11.31,11.11,16.26,0.62,2.06,4.11,4.32,6.17,2.88,3.09,4.32,6.58,10.29,8.23,12.55,10.7,19.74,197.9,47210610,20231020
86294127,456152,468543,7,0.41,0.81,1.83,2.44,3.86,3.66,2.24,4.27,3.46,8.34,9.15,6.71,7.32,11.59,0.41,1.02,2.64,1.22,2.85,2.44,1.42,3.05,3.25,5.9,5.29,8.14,5.9,8.14,117.76,47210610,20231014
86294129,456152,468643,23,1.12,1.68,3.08,2.8,9.23,6.43,5.31,6.99,9.23,15.66,18.74,13.43,14.54,25.74,0.56,2.8,3.64,4.2,4.75,2.8,3.36,6.71,10.07,13.71,10.07,15.66,12.31,26.57,251.19,47210610,20231022
84027091,446852,474443,13,0.59,0.83,1.1,0.91,1.85,1.89,1.85,3.11,2.75,4.84,6.1,7.04,7.91,9.37,0.83,1.46,1.18,0.83,1.81,2.24,2.48,3.35,3.54,6.97,7.6,9.76,7.24,7.87,107.3,47210250,20231008
85904065,454552,467843,21,0.92,2.46,2.87,3.18,4.1,3.59,4.0,5.23,5.59,5.54,4.51,4.26,2.05,3.5,1.54,2.82,2.36,2.51,3.95,2.77,2.67,5.38,5.95,6.72,4.46,3.23,2.0,3.64,101.8,47210620,20231029
86269750,456052,468593,18,0.42,0.85,4.65,4.01,6.13,5.92,5.07,9.51,12.25,17.96,19.65,15.42,14.79,25.15,1.48,1.48,6.55,4.86,6.97,5.92,3.8,4.44,9.93,12.68,12.25,13.52,12.47,23.03,261.16,47210610,20231012
86281938,456102,468543,19,0.97,2.19,7.05,4.13,7.05,7.53,4.62,7.29,11.66,12.39,19.93,15.55,13.85,25.76,0.49,1.22,5.1,4.37,5.83,3.16,2.43,7.78,9.96,11.66,12.39,15.31,12.64,24.31,256.62,47210610,20231022
86294129,456152,468643,12,1.12,1.95,7.53,2.51,11.16,6.14,6.98,6.14,9.21,13.67,17.58,14.79,14.51,26.51,0.84,1.67,6.14,7.53,6.98,5.02,5.02,6.14,8.93,13.12,14.51,14.51,15.63,18.98,264.82,47210610,20231008
85757809,453952,468443,19,1.49,2.34,11.3,9.8,8.74,5.75,2.77,2.34,5.54,7.03,3.84,1.92,2.34,2.78,0.21,3.62,12.15,5.97,7.03,3.2,3.62,7.89,9.38,6.18,4.69,3.41,2.13,0.64,138.1,47210620,20231019
86269750,456052,468593,14,2.11,1.48,1.48,1.9,6.33,2.95,1.48,6.75,8.86,10.97,15.19,11.81,10.97,20.05,0.42,3.8,3.8,3.8,6.54,2.74,4.01,4.43,8.23,14.13,13.08,11.81,11.39,17.09,207.6,47210610,20231011
86281938,456102,468543,8,2.43,3.65,0.49,1.7,5.6,5.6,2.68,9.49,7.55,12.41,13.14,16.8,11.68,15.33,1.7,3.89,2.92,5.11,4.38,3.89,3.65,4.87,9.25,10.22,8.76,10.47,10.71,14.37,202.74,47210610,20231018
86281938,456102,468543,13,2.46,3.68,2.45,6.62,8.34,4.41,4.17,7.85,11.53,11.77,17.9,16.68,13.0,24.29,1.48,3.43,3.43,3.68,6.62,4.17,3.43,5.64,9.07,16.19,14.47,13.73,14.72,30.66,265.87,47210610,20231010
86281938,456102,468543,15,1.47,2.45,6.37,5.14,7.59,4.16,2.69,12.0,10.53,13.47,19.6,18.62,17.88,25.23,1.71,3.18,3.92,4.16,6.61,2.69,3.67,5.39,9.55,15.19,18.13,16.41,13.47,28.17,279.45,47210610,20231020
86281938,456102,468543,23,0.73,1.47,3.18,3.42,6.11,5.86,2.44,8.06,10.99,12.95,14.9,11.73,9.28,22.72,0.73,1.22,2.44,4.15,6.6,4.4,1.95,6.6,7.33,12.46,10.02,13.19,13.19,24.18,222.3,47210610,20231025
86281939,456102,468593,23,0.82,0.82,5.56,3.91,4.94,5.35,1.03,6.18,7.62,14.0,13.39,11.33,11.12,16.27,0.62,2.06,4.12,4.32,6.18,2.88,3.09,4.32,6.59,10.3,8.24,12.56,10.71,19.78,198.11,47210610,20231020
86294126,456152,468493,11,1.44,2.67,0.21,4.53,4.94,3.29,2.47,7.82,10.08,11.93,13.78,14.81,9.87,22.42,1.65,2.47,3.7,3.09,5.76,3.29,4.11,5.97,9.67,12.96,11.93,15.43,12.75,24.06,227.1,47210610,20231025
86294127,456152,468543,11,1.63,1.02,0.81,2.44,7.32,3.86,3.66,7.93,9.15,14.04,13.63,12.2,11.8,16.89,1.63,1.02,3.25,3.05,6.31,2.85,3.25,5.7,9.56,10.98,11.8,11.59,11.59,19.12,208.08,47210610,20231012
86294127,456152,468543,13,1.83,2.85,1.83,3.46,6.1,3.25,2.85,6.92,7.93,10.78,16.48,16.07,8.14,19.72,2.24,3.05,2.85,3.86,6.92,3.46,4.07,5.08,8.14,11.8,12.81,14.44,13.02,19.73,219.68,47210610,20231016
86294127,456152,468543,19,0.61,1.42,5.09,3.66,6.92,5.29,3.66,5.29,9.36,14.65,15.05,18.92,12.61,22.37,0.41,2.44,7.93,2.64,7.73,2.85,4.07,5.29,8.54,13.22,12.82,15.05,13.83,21.17,242.89,47210610,20231020
86294128,456152,468593,12,0.94,0.93,1.03,1.59,2.52,2.33,2.33,3.92,3.55,4.86,9.06,7.75,5.04,9.8,0.56,1.21,1.59,1.96,1.87,1.77,1.68,2.71,4.76,5.14,6.63,6.26,5.04,7.93,104.76,47210610,20231005
85916253,454602,467793,20,0.83,2.98,2.54,3.32,4.35,3.61,3.76,5.03,5.52,5.42,4.74,3.86,2.15,3.47,1.47,3.96,2.69,3.17,3.76,2.83,3.08,5.86,5.47,6.06,4.49,4.25,2.25,3.47,104.39,47210620,20231030
86269750,456052,468593,6,0.42,1.05,1.69,2.53,2.74,4.43,2.74,4.43,3.16,5.9,8.64,7.8,7.17,8.64,0.42,0.21,1.05,0.84,2.32,0.42,1.9,3.79,3.37,4.0,4.85,7.38,4.85,8.01,104.75,47210610,20231024
86269750,456052,468593,10,1.06,2.75,0.63,4.23,4.65,3.59,3.8,8.88,8.03,12.26,13.95,15.43,9.51,20.71,1.06,4.02,2.96,3.8,4.23,3.8,3.17,4.65,7.82,10.57,10.78,13.95,12.47,19.44,212.2,47210610,20231030
86269750,456052,468593,19,0.42,2.11,3.58,4.43,9.27,5.9,3.16,8.01,12.43,16.23,20.23,17.49,12.86,22.13,1.05,1.05,4.21,2.32,4.43,5.27,3.79,7.38,10.75,13.07,12.22,14.12,13.28,22.97,254.16,47210610,20231024
86269750,456052,468593,22,0.21,1.48,4.21,3.79,6.74,4.64,2.32,7.17,8.01,13.49,16.02,12.01,12.43,19.18,0.63,2.32,2.74,3.16,6.32,2.32,3.16,6.53,8.85,12.64,10.54,14.33,13.28,20.45,218.97,47210610,20231024
86281938,456102,468543,7,0.49,2.2,1.96,2.2,5.38,3.91,2.2,7.09,5.63,13.45,10.03,10.27,11.25,13.21,1.22,3.42,2.94,1.71,4.16,1.71,1.22,4.65,5.38,6.11,5.87,10.03,7.58,11.26,156.53,47210610,20231012
86281939,456102,468593,14,1.01,2.42,1.82,4.44,5.45,4.24,2.63,6.67,8.48,10.1,14.75,15.96,12.73,15.96,0.81,4.24,2.83,2.83,6.67,2.83,3.23,5.05,6.67,12.12,13.94,11.52,10.1,20.0,209.5,47210610,20231023
86281939,456102,468593,15,1.65,1.85,1.65,3.5,5.56,4.32,2.88,9.88,8.44,9.88,17.71,17.91,12.35,21.0,1.65,2.26,4.53,3.5,5.76,3.91,2.88,7.21,9.47,12.15,14.0,16.88,12.35,19.76,234.89,47210610,20231005
86281939,456102,468593,18,0.6,1.6,7.61,5.4,5.4,4.6,2.4,8.01,8.81,14.81,14.41,15.21,13.01,22.22,0.6,2.2,3.6,2.8,8.41,2.8,2.2,6.0,8.81,14.81,17.21,17.41,17.81,21.61,250.36,47210610,20231029
