id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86025994,455052,469793,17,0.75,2.63,6.84,2.48,3.53,2.56,3.16,2.71,5.04,7.14,5.26,6.39,3.98,8.87,0.53,1.88,2.41,1.73,3.98,2.63,2.48,3.01,5.94,6.92,6.77,6.39,4.66,8.87,119.54,47210550,20231205
86025996,455052,469893,11,0.8,1.45,9.81,2.17,3.06,3.22,2.09,3.62,5.47,6.19,6.75,6.51,4.02,7.72,0.8,3.14,2.17,1.37,4.02,2.09,2.73,3.22,5.87,5.95,6.43,6.51,5.39,7.16,119.73,47210550,20231215
86281938,456102,468543,19,0.49,1.95,5.85,5.85,9.27,7.56,3.17,7.8,10.48,16.09,22.19,18.04,19.02,25.36,0.24,2.68,4.88,5.85,5.85,3.9,3.9,5.36,7.31,12.19,14.39,15.36,15.6,26.09,276.72,47210610,20231207
86281939,456102,468593,12,1.41,3.03,1.82,3.84,4.04,4.65,2.43,8.29,7.68,10.91,15.56,15.97,12.33,18.59,0.81,3.64,1.41,3.23,6.87,3.84,3.84,5.05,9.5,12.33,13.14,15.36,11.52,14.15,215.24,47210610,20231219
86294129,456152,468643,13,1.12,2.8,11.22,3.93,5.61,7.01,3.93,8.97,8.97,16.55,21.31,13.46,17.11,24.67,0.56,1.4,6.17,4.49,5.89,4.77,3.08,3.65,10.1,15.14,13.18,15.98,12.06,24.12,267.25,47210610,20231217
85904065,454552,467843,19,1.2,3.13,3.54,3.02,3.8,3.8,3.07,5.16,4.79,4.85,5.26,3.8,2.45,3.55,1.62,3.96,3.34,2.14,4.01,3.13,2.66,5.21,4.74,5.68,5.47,4.06,2.71,3.8,103.95,47210620,20231215
86025996,455052,469893,17,0.64,2.33,5.21,1.68,3.61,2.97,3.61,3.69,5.69,5.53,6.58,6.34,4.25,8.42,0.24,2.49,3.05,2.81,3.77,2.09,2.65,3.61,4.65,5.29,5.94,6.74,6.26,8.27,118.41,47210550,20231226
86269750,456052,468593,19,0.42,2.11,6.32,3.37,6.32,6.32,6.74,8.43,11.8,13.91,17.28,13.91,13.7,15.6,1.05,2.11,4.0,4.22,6.53,2.53,3.58,5.27,8.43,15.18,13.28,13.7,14.12,19.19,239.42,47210610,20231209
86269750,456052,468593,19,1.26,1.48,10.96,5.9,7.38,6.11,4.01,9.91,11.38,12.02,18.97,12.65,16.02,19.39,1.05,3.16,5.48,5.48,6.96,3.58,2.32,6.96,9.49,13.91,12.02,13.7,13.91,20.67,256.13,47210610,20231230
86281938,456102,468543,7,0.0,0.98,3.9,2.19,5.12,4.63,1.95,4.88,6.1,10.97,11.7,10.73,6.83,9.75,0.98,1.71,2.44,1.22,3.41,1.22,1.71,3.41,7.07,7.31,6.83,7.8,9.02,11.22,145.08,47210610,20231207
