id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
85855334,454352,469093,22,2.69,3.08,3.46,1.92,3.08,2.69,2.69,4.23,4.23,6.54,5.77,1.92,3.08,1.15,1.92,4.23,2.69,3.08,3.08,5.0,3.85,8.85,5.77,8.85,2.69,3.46,1.15,0.77,101.92,47210630,20231101
85879686,454452,467793,18,1.91,4.17,2.96,3.16,3.16,4.12,3.26,5.52,5.07,6.03,5.47,4.32,2.51,3.66,2.01,5.67,2.66,2.36,4.37,2.66,2.86,5.52,5.17,6.33,5.07,3.62,2.21,3.82,109.65,47210620,20231106
86025996,455052,469893,14,0.48,2.17,4.99,2.5,2.9,3.06,2.41,2.74,4.1,5.88,5.55,6.28,4.67,8.13,0.48,1.53,2.17,1.85,3.62,1.69,1.69,2.41,4.35,5.15,5.71,6.28,4.75,8.53,106.07,47210550,20231105
86025996,455052,469893,17,0.48,1.83,7.1,1.52,3.91,2.71,3.35,4.39,5.1,8.61,6.78,6.62,4.71,9.57,0.4,2.79,3.35,2.47,4.55,2.07,2.71,3.19,5.26,6.38,5.74,5.98,4.47,8.45,124.49,47210550,20231107
86269750,456052,468593,8,1.48,3.37,0.42,2.53,4.21,4.43,2.74,8.01,5.9,11.17,11.8,12.22,8.01,12.86,1.26,4.64,2.74,2.32,4.21,3.37,1.69,3.58,6.32,6.95,8.43,10.75,8.43,12.44,166.28,47210610,20231114
86281938,456102,468543,9,1.95,3.9,0.98,3.9,4.15,5.61,3.41,7.07,10.24,15.12,19.27,17.32,11.46,17.56,1.71,5.37,1.22,2.68,6.1,3.41,2.93,6.1,9.27,10.0,11.95,10.73,12.44,20.49,226.34,47210610,20231101
86281938,456102,468543,9,2.2,3.66,0.98,2.93,5.61,4.88,2.44,7.57,8.79,13.91,13.18,14.15,10.49,17.33,1.22,4.39,1.95,2.68,5.37,3.66,2.2,5.61,7.81,12.69,11.47,12.2,13.42,16.6,209.39,47210610,20231123
86281939,456102,468593,9,1.41,3.23,0.81,2.82,2.82,3.23,2.02,8.67,7.46,10.69,10.89,12.71,7.87,13.92,0.81,3.83,2.02,2.02,4.64,2.42,2.22,4.44,5.85,8.07,8.87,9.28,9.68,12.5,165.2,47210610,20231113
86294126,456152,468493,21,1.03,2.47,3.09,2.67,6.79,6.38,4.32,7.61,8.23,13.99,17.07,14.81,12.14,19.75,0.62,1.85,3.91,3.5,7.2,3.91,3.29,3.91,9.26,11.52,12.55,15.22,13.78,20.78,231.65,47210610,20231107
86294126,456152,468493,22,1.03,1.23,6.38,2.67,6.38,6.58,2.26,6.17,9.46,9.26,12.96,10.08,9.46,17.28,1.24,1.85,4.53,4.11,3.91,2.47,3.5,6.17,8.02,10.9,12.55,10.7,11.93,20.17,203.25,47210610,20231125
86294126,456152,468493,23,0.21,1.23,4.94,3.5,4.94,3.7,2.26,5.76,6.99,12.14,14.4,10.9,9.46,17.28,0.82,1.44,3.29,3.09,4.53,2.26,2.26,4.11,5.76,10.7,8.02,10.9,10.9,18.52,184.31,47210610,20231115
86294127,456152,468543,22,0.61,1.22,4.68,3.25,8.54,6.31,3.05,7.93,8.34,12.0,15.66,12.41,11.39,18.1,1.01,2.85,3.05,2.85,5.09,3.05,2.44,5.7,8.95,10.98,9.76,11.8,13.22,19.53,213.77,47210610,20231102
86294129,456152,468643,10,2.5,4.17,0.28,3.62,5.28,5.01,3.62,7.51,10.01,13.35,16.41,19.47,14.18,18.91,1.11,5.28,1.67,2.78,8.62,4.73,4.73,5.84,9.18,10.85,15.58,17.24,17.24,21.7,250.87,47210610,20231121
86294129,456152,468643,15,0.55,1.66,1.39,3.33,7.49,4.71,3.05,9.15,11.37,15.25,22.46,14.7,18.86,23.85,2.22,2.22,2.5,3.88,6.93,3.33,3.88,5.55,10.81,15.53,20.24,19.97,19.69,29.67,284.24,47210610,20231123
86294129,456152,468643,17,0.28,3.88,6.66,3.61,7.77,9.16,5.27,16.37,15.26,16.93,27.47,23.31,18.87,30.24,0.55,2.22,5.27,4.16,7.77,5.27,5.27,6.66,10.27,17.76,20.53,20.26,20.53,31.63,343.23,47210610,20231130
85879686,454452,467793,18,1.11,4.08,3.07,3.17,4.08,3.93,3.52,5.08,5.13,4.53,3.98,4.73,2.16,3.07,2.06,6.14,2.72,2.57,3.88,2.92,3.12,5.74,5.49,5.49,4.98,4.23,2.37,3.72,107.07,47210620,20231113
