id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
85757809,453952,468443,19,0.67,3.81,5.83,8.3,8.97,4.26,3.36,7.63,5.83,5.83,2.24,5.38,0.22,0.89,0.22,5.61,5.61,6.73,6.73,4.94,3.81,6.95,6.73,7.85,3.36,1.79,0.9,1.34,125.79,47210620,20230621
85916253,454602,467793,18,1.4,5.73,2.98,2.93,4.33,3.75,4.56,6.05,5.55,5.69,4.83,3.79,1.9,3.34,1.81,4.92,2.26,3.07,4.02,2.62,3.16,6.41,6.77,6.14,5.1,4.42,2.3,3.38,113.21,47210620,20230602
86269750,456052,468593,17,0.63,2.53,4.63,5.48,9.06,7.79,4.0,10.74,12.64,18.74,21.48,17.9,16.64,18.31,1.26,2.11,6.53,6.11,7.58,3.37,4.84,7.16,11.58,15.37,11.16,15.16,13.27,24.65,280.72,47210610,20230621
86269750,456052,468593,17,0.84,2.95,3.79,5.68,5.47,6.52,4.21,10.1,14.73,15.78,20.83,17.89,13.47,18.31,1.47,2.31,6.1,4.63,4.63,2.53,4.21,6.31,11.15,16.84,14.52,15.57,14.73,17.68,263.25,47210610,20230629
86294126,456152,468493,18,0.82,2.88,5.35,5.35,7.82,6.79,5.55,11.31,13.78,19.34,20.37,16.05,14.81,18.92,0.41,1.65,4.73,5.97,6.58,3.09,2.67,6.79,12.75,15.84,15.63,16.25,12.75,24.27,278.52,47210610,20230627
86294127,456152,468543,6,0.0,1.02,1.63,2.44,2.64,2.64,1.63,4.07,6.51,9.76,8.75,7.32,6.31,8.54,0.2,1.02,1.42,3.25,2.03,1.22,1.83,1.42,5.08,5.29,5.08,7.93,7.93,6.5,113.46,47210610,20230622
86294128,456152,468593,18,0.48,1.15,2.78,2.4,3.45,2.78,2.01,3.64,5.37,7.67,9.2,6.04,7.38,7.77,0.39,0.77,2.3,2.97,3.07,1.25,1.92,2.3,4.51,7.0,7.0,7.48,6.52,10.07,119.67,47210610,20230609
86294128,456152,468593,22,0.19,1.04,2.36,1.8,3.12,2.83,0.94,3.4,3.78,6.9,9.26,6.9,5.86,8.79,0.47,1.23,2.46,1.89,2.36,0.57,2.27,2.17,3.87,5.29,5.39,6.71,6.05,9.35,107.25,47210610,20230602
85928441,454652,467743,20,0.89,3.63,3.16,3.73,5.8,4.39,4.1,5.33,6.37,5.9,4.43,2.45,1.65,1.93,1.47,3.54,1.79,3.4,3.59,3.49,3.73,5.99,6.18,5.28,3.26,2.59,1.75,1.18,101.0,47210620,20230613
86025996,455052,469893,8,1.06,1.44,7.74,1.14,2.43,2.58,2.58,3.19,4.4,6.6,5.54,5.08,4.17,8.12,0.84,5.31,3.26,1.75,2.96,2.28,2.2,3.34,3.72,4.78,3.79,4.55,3.95,5.92,104.72,47210550,20230613
86269750,456052,468593,19,1.26,2.1,6.94,4.0,6.52,4.42,4.84,6.94,11.57,15.57,19.35,14.73,14.3,18.94,0.63,3.58,4.42,5.68,8.2,2.95,4.21,6.31,12.2,16.83,15.78,16.41,12.83,20.19,261.7,47210610,20230606
86281939,456102,468593,11,1.62,2.43,1.01,3.65,5.27,4.06,3.45,9.73,10.14,15.0,16.22,11.56,10.95,18.04,1.22,3.45,4.87,4.46,5.47,2.64,4.26,7.3,9.73,13.79,12.17,11.56,12.77,16.82,223.64,47210610,20230607
86281939,456102,468593,17,0.61,2.24,4.68,4.88,5.29,7.33,4.07,10.99,12.62,17.7,21.16,14.85,14.85,16.89,0.81,2.24,7.12,6.1,6.72,3.26,3.66,6.31,9.56,15.47,13.02,13.43,13.43,22.79,262.08,47210610,20230616
86294127,456152,468543,13,1.22,2.44,6.91,5.49,6.1,6.71,3.05,4.27,5.9,15.66,15.46,10.17,10.58,15.05,0.41,1.83,4.07,6.1,7.12,3.66,3.86,5.49,7.73,12.61,9.56,9.76,10.58,15.46,207.25,47210610,20230604
86294129,456152,468643,5,0.84,1.12,3.37,2.25,2.53,1.41,3.09,2.53,6.75,8.71,9.56,3.37,4.78,5.34,0.56,0.28,1.69,2.53,2.25,1.69,1.41,1.12,5.62,5.9,4.22,6.75,6.18,8.15,104.0,47210610,20230618
86294129,456152,468643,8,2.51,2.79,0.84,3.9,8.09,6.69,6.41,10.6,11.71,19.8,22.31,16.73,9.76,16.18,2.79,4.18,5.3,4.74,7.81,2.51,3.35,6.97,10.32,12.55,9.76,13.67,12.55,15.9,250.72,47210610,20230621
85879686,454452,467793,18,1.49,4.46,2.79,2.98,3.72,2.98,3.67,5.3,4.37,5.86,4.56,3.49,2.09,3.21,1.9,4.65,2.79,2.56,3.49,2.79,3.25,6.23,6.88,5.3,4.88,4.37,1.91,3.49,105.46,47210620,20230627
85904065,454552,467843,20,1.18,3.34,3.29,2.99,3.73,3.73,4.66,5.89,5.79,7.01,4.41,4.27,2.55,3.0,1.52,3.97,2.21,2.01,4.27,3.19,3.43,6.57,6.57,6.52,5.2,4.51,1.67,3.68,111.16,47210620,20230626
85916253,454602,467793,22,0.96,2.65,2.79,2.06,3.34,3.66,4.07,6.68,5.26,5.44,4.21,3.89,2.06,2.93,1.56,3.25,2.01,2.74,3.25,3.06,2.7,5.72,6.81,6.95,4.44,3.52,1.74,3.21,100.96,47210620,20230608
86025996,455052,469893,9,1.15,1.76,6.51,1.53,3.75,3.75,2.76,4.06,4.67,6.13,6.97,6.28,4.75,7.13,0.85,3.83,3.29,2.3,3.14,2.37,2.91,4.44,5.06,7.05,5.9,6.51,4.44,6.9,120.19,47210550,20230629
86269750,456052,468593,11,1.69,2.11,4.0,6.74,7.37,8.22,4.63,9.48,8.64,15.59,21.49,16.01,13.9,20.42,2.11,3.58,5.27,5.06,5.27,2.95,3.79,6.95,10.11,13.48,13.48,12.43,12.85,14.53,252.15,47210610,20230630
86294126,456152,468493,15,1.65,1.85,2.06,4.53,6.38,5.35,4.11,9.87,10.49,12.55,15.02,14.19,14.61,22.42,1.03,1.23,4.73,5.76,5.14,3.5,2.67,6.58,11.11,13.37,13.58,15.63,10.7,19.34,239.45,47210610,20230622
86294127,456152,468543,10,0.81,2.85,4.27,3.46,4.27,3.25,4.27,6.71,7.12,9.35,15.05,8.54,8.74,15.24,0.81,0.61,1.63,2.24,3.46,2.85,3.05,4.68,8.74,9.15,10.17,14.64,11.79,14.04,181.79,47210610,20230611
86294127,456152,468543,13,1.22,2.64,1.63,3.46,4.88,5.29,4.88,9.56,11.59,18.1,15.25,14.44,11.8,19.74,1.63,3.66,3.25,3.86,5.49,3.86,3.86,8.34,8.54,12.41,9.15,14.24,9.97,19.11,231.85,47210610,20230613
86294129,456152,468643,17,1.39,3.06,7.5,6.95,10.84,5.56,4.45,15.28,15.28,24.73,29.45,23.34,18.61,25.84,0.56,3.89,5.83,6.95,7.78,4.72,5.28,7.78,11.67,23.62,17.23,16.95,15.0,31.39,350.93,47210610,20230601
86294129,456152,468643,21,1.11,2.5,7.78,5.56,11.11,6.94,4.44,13.61,15.83,23.61,26.67,21.94,15.28,23.89,1.39,2.22,6.11,4.72,8.89,5.28,5.0,10.0,18.06,21.39,18.61,21.94,19.72,28.62,352.22,47210610,20230613
