id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
85904065,454552,467843,22,1.51,3.44,2.61,2.23,3.87,3.34,3.97,5.71,6.1,6.39,5.37,4.31,1.98,3.25,1.36,3.39,2.32,2.81,3.68,3.44,2.81,6.44,6.24,6.82,4.55,3.73,1.5,3.15,106.32,47210620,20230525
86025994,455052,469793,15,0.84,1.11,8.42,1.74,3.48,2.3,3.13,4.73,3.62,6.54,6.33,6.61,4.46,7.52,0.56,2.51,1.74,2.3,3.2,2.44,2.65,3.13,4.87,4.94,5.64,5.5,5.08,6.96,112.35,47210550,20230510
86294126,456152,468493,12,1.03,1.44,3.7,4.11,5.97,3.91,4.73,8.23,8.64,15.84,17.49,13.99,12.34,18.1,1.03,0.62,4.11,5.14,4.94,3.5,2.67,4.53,8.64,12.96,11.93,12.14,12.34,16.25,220.32,47210610,20230529
86294128,456152,468593,22,0.59,1.36,2.23,1.84,3.3,2.52,2.52,3.49,5.44,5.34,7.77,6.41,6.31,9.13,0.29,0.97,2.62,2.52,3.3,1.75,2.04,1.94,4.17,5.34,5.44,7.57,6.6,9.51,112.31,47210610,20230520
85879686,454452,467793,19,1.4,3.34,2.65,3.3,3.62,3.99,4.22,5.57,5.06,4.97,4.78,3.48,1.58,3.29,1.72,4.04,2.97,3.48,4.32,2.88,3.34,5.94,6.27,5.43,5.25,4.04,1.9,3.71,106.54,47210620,20230512
85916253,454602,467793,18,0.93,2.96,2.45,2.55,3.7,3.8,4.17,5.32,5.0,5.51,3.98,2.82,2.55,2.91,1.11,3.52,2.73,2.82,3.52,2.87,2.92,6.48,5.93,5.97,5.18,3.98,2.36,4.02,102.06,47210620,20230521
86281939,456102,468593,12,1.4,2.39,2.99,2.99,6.18,4.19,3.99,6.38,8.97,15.75,14.95,12.16,9.37,14.76,0.6,2.39,3.39,4.79,6.38,2.39,3.99,5.78,9.37,11.37,11.37,14.56,13.76,15.15,211.76,47210610,20230521
86294126,456152,468493,4,1.44,2.06,4.32,3.09,3.29,3.7,2.88,3.7,5.97,6.38,5.35,3.7,4.94,5.55,1.03,1.85,3.09,3.29,1.65,3.09,2.47,4.73,5.14,4.11,5.14,4.53,3.5,7.19,107.18,47210610,20230507
86294127,456152,468543,7,0.2,2.24,2.24,1.83,4.47,4.07,2.85,3.46,8.34,12.2,12.61,8.54,9.56,10.98,1.02,1.42,1.22,3.05,3.86,2.24,1.02,3.05,4.88,6.92,6.1,8.34,8.95,9.35,145.01,47210610,20230518
86294127,456152,468543,20,0.81,2.44,4.68,4.27,7.12,7.12,3.25,8.75,11.59,15.66,20.95,13.42,12.61,19.93,1.22,2.64,4.07,5.09,5.49,2.44,3.46,5.7,9.15,14.03,14.44,14.85,13.42,22.99,251.59,47210610,20230502
85757809,453952,468443,20,0.22,1.35,10.77,12.35,6.96,6.06,3.59,3.82,5.61,3.82,2.24,2.69,1.57,0.45,0.44,3.82,9.88,8.98,7.86,2.02,2.69,5.16,5.84,4.04,2.24,1.12,0.9,1.12,117.61,47210620,20230528
85904065,454552,467843,17,2.1,4.74,1.72,2.68,3.68,2.49,3.97,4.07,4.45,4.55,4.98,3.3,2.11,2.64,2.63,6.17,2.06,2.82,3.64,2.82,3.25,6.27,6.27,5.65,4.02,3.64,1.96,3.74,102.42,47210620,20230511
86294126,456152,468493,13,2.27,1.44,2.06,5.97,4.11,3.5,6.17,8.23,12.75,11.52,15.43,11.73,10.7,17.27,2.47,3.29,4.11,4.73,7.2,2.88,4.11,6.99,9.46,15.43,12.75,12.34,10.49,16.45,225.85,47210610,20230526
86294127,456152,468543,19,0.41,2.64,4.47,3.25,7.53,5.29,5.29,7.73,13.02,16.88,17.49,16.27,15.66,18.3,1.83,2.24,3.86,4.07,6.71,4.47,4.07,5.08,8.54,13.22,18.1,13.83,13.83,20.75,254.83,47210610,20230501
86294128,456152,468593,9,1.09,1.79,2.38,2.98,2.68,3.28,2.28,3.08,6.16,6.85,10.52,6.65,5.66,6.55,0.4,0.79,1.79,2.48,1.99,2.08,1.49,2.38,4.77,6.75,6.55,6.06,4.27,7.44,111.19,47210610,20230506
86294129,456152,468643,2,0.83,0.83,1.11,0.83,3.62,2.5,2.5,2.78,6.4,8.63,9.74,6.68,5.29,8.07,0.28,1.11,1.39,3.34,1.67,1.39,2.5,3.34,3.34,5.57,3.62,5.57,6.68,7.51,107.12,47210610,20230526
86294129,456152,468643,13,2.51,1.67,1.95,6.42,8.37,5.58,8.93,13.4,14.79,13.96,20.93,21.21,16.19,22.6,2.51,4.47,4.74,4.19,8.65,7.26,4.47,10.33,13.12,21.49,21.21,18.42,15.07,30.98,325.42,47210610,20230522
86294129,456152,468643,20,0.83,2.5,5.29,8.07,8.62,9.46,5.29,13.08,16.41,20.31,28.93,20.03,22.26,29.49,1.67,2.23,7.23,9.18,7.79,4.73,5.84,7.51,13.63,23.65,25.32,18.36,23.37,28.1,369.18,47210610,20230525
86269750,456052,468593,6,1.26,1.05,3.37,2.95,5.47,3.79,2.73,4.63,3.79,7.99,6.31,6.94,7.57,7.57,0.63,1.05,1.47,3.16,3.37,1.68,2.1,4.84,3.37,4.21,4.63,4.84,4.63,8.84,114.24,47210610,20230505
86281939,456102,468593,21,0.8,2.61,4.22,3.62,5.83,4.42,3.02,9.85,11.46,14.27,18.29,15.28,12.86,18.29,1.21,1.61,5.03,4.02,6.43,3.02,4.22,7.44,11.46,14.67,11.86,13.07,15.28,18.3,242.44,47210610,20230517
86294127,456152,468543,16,1.02,2.64,3.46,3.66,6.51,4.27,3.05,10.37,9.56,12.61,16.88,14.03,11.39,16.26,1.22,1.22,4.07,2.64,5.49,2.64,4.47,8.75,7.12,11.59,12.2,16.27,11.59,20.75,225.73,47210610,20230524
86294128,456152,468593,14,0.67,0.67,0.19,1.53,2.01,1.34,2.48,4.11,4.59,5.83,8.89,6.4,5.83,7.75,0.57,1.43,0.76,1.34,2.39,1.72,2.2,3.82,4.87,6.88,5.45,6.02,4.87,10.51,105.12,47210610,20230531
86294129,456152,468643,15,2.51,3.62,7.24,8.36,7.24,5.29,4.18,9.47,12.26,20.62,18.67,18.39,14.77,24.52,1.67,3.62,6.41,5.29,7.52,5.85,7.24,5.85,19.22,14.49,13.37,19.22,16.99,28.69,312.57,47210610,20230529
86294129,456152,468643,17,1.93,4.42,9.39,7.18,9.39,6.35,4.97,14.08,11.6,24.57,23.19,18.77,17.95,24.86,2.21,1.93,10.22,6.07,6.35,7.45,4.14,9.94,16.84,23.19,18.77,18.5,16.29,27.33,347.88,47210610,20230504
86294129,456152,468643,22,1.12,3.66,8.16,6.19,7.03,5.34,3.09,12.09,10.12,19.97,20.53,15.47,16.03,22.78,1.41,2.53,5.91,7.03,8.72,4.22,3.94,7.03,11.53,16.87,14.06,17.43,16.59,23.91,292.76,47210610,20230507
86269750,456052,468593,4,0.63,1.26,5.03,1.88,3.56,2.72,3.98,3.14,5.44,6.7,8.38,5.03,3.98,5.86,0.84,1.26,1.68,3.56,2.51,1.68,2.3,2.72,4.82,6.91,5.65,5.44,7.12,7.33,111.41,47210610,20230528
86269750,456052,468593,6,0.85,0.63,0.63,2.96,4.01,3.17,2.32,3.17,5.07,10.56,9.3,6.13,6.76,8.88,0.42,0.63,1.9,1.9,1.69,1.48,2.32,1.69,4.01,4.23,4.01,6.55,5.07,9.3,109.64,47210610,20230504
86269750,456052,468593,13,1.69,1.9,1.05,3.79,7.16,4.63,4.85,11.17,9.06,16.85,16.85,14.75,12.01,18.95,2.11,3.16,4.42,4.85,5.9,3.16,5.06,10.53,9.48,16.22,14.54,14.54,13.69,21.7,254.07,47210610,20230530
86281938,456102,468543,7,0.96,1.69,4.58,1.69,6.03,4.58,3.86,5.79,8.44,11.1,13.75,9.41,10.85,11.34,1.45,0.72,1.93,4.34,3.86,2.41,2.17,5.55,6.51,12.54,8.68,11.34,10.37,12.06,178.0,47210610,20230528
85879686,454452,467793,20,0.98,3.21,2.56,3.4,5.12,3.54,3.96,5.31,5.59,5.73,5.82,4.42,2.38,2.98,1.31,3.73,2.38,2.89,3.63,3.45,2.89,6.61,7.03,6.1,5.26,4.42,2.7,3.26,110.66,47210620,20230530
85904065,454552,467843,19,1.53,4.12,2.73,2.73,4.45,3.35,4.21,5.22,5.26,5.07,5.07,3.45,2.06,3.01,1.29,4.12,2.11,3.11,4.4,3.59,3.01,6.6,5.93,5.26,4.74,4.5,1.91,4.07,106.9,47210620,20230511
85904065,454552,467843,21,1.4,3.72,2.46,2.95,4.2,3.72,4.45,5.56,5.9,7.1,5.03,3.96,1.93,3.61,1.69,3.67,2.37,3.04,4.69,4.11,3.0,6.52,7.1,7.15,5.22,4.16,1.93,3.34,113.98,47210620,20230523
86025994,455052,469793,18,0.63,1.33,9.15,2.65,4.89,2.58,2.23,4.4,5.24,7.68,7.61,5.72,3.49,7.61,0.63,1.82,3.14,2.37,3.14,2.16,2.65,5.17,4.96,7.4,6.14,5.1,5.31,7.95,123.15,47210550,20230531
86025996,455052,469893,16,1.0,2.7,3.63,2.55,3.32,3.47,2.24,3.4,5.63,4.94,5.25,4.48,4.09,7.95,0.54,1.85,2.93,3.32,3.86,1.85,2.39,3.32,3.7,5.56,4.48,5.25,4.55,6.24,104.49,47210550,20230521
86294126,456152,468493,22,1.44,1.44,4.11,4.73,5.97,4.11,3.29,8.23,9.46,12.75,14.19,8.85,11.73,16.45,1.44,1.65,4.53,4.73,5.97,0.82,4.73,4.94,7.61,10.08,11.11,12.34,12.75,18.93,208.38,47210610,20230514
86294127,456152,468543,13,1.83,2.03,7.32,7.32,6.1,5.49,3.46,5.9,12.4,17.29,13.63,13.63,13.83,16.07,0.81,2.85,7.12,8.95,8.74,4.27,5.29,6.71,9.76,16.47,13.83,8.54,10.98,18.51,249.13,47210610,20230507
86294128,456152,468593,16,1.13,1.14,1.14,1.9,3.32,1.33,1.99,3.42,3.99,5.79,8.26,6.26,5.41,9.49,0.38,0.66,2.09,2.18,2.47,1.99,2.18,3.23,4.56,5.98,5.88,6.26,5.03,8.26,105.72,47210610,20230503
86294129,456152,468643,15,2.78,3.05,1.67,6.11,6.38,5.0,4.72,10.82,11.38,14.43,13.6,17.76,15.82,26.92,3.06,2.78,4.44,5.83,7.49,6.11,6.11,6.38,11.1,18.87,16.65,14.43,12.77,23.59,280.05,47210610,20230518
86294142,456152,469293,12,0.0,0.0,1.01,1.87,3.04,3.04,2.03,2.26,3.82,5.61,5.07,5.07,5.53,5.53,0.0,0.0,1.4,1.64,3.43,2.18,3.04,4.68,6.0,8.65,8.73,8.65,7.02,11.76,111.06,47210525,20230524
86294142,456152,469293,15,0.15,0.61,0.76,2.68,2.45,1.91,1.61,2.29,3.44,3.9,2.45,4.21,3.98,7.57,0.16,0.08,3.67,1.53,3.06,0.99,4.05,4.05,5.13,8.95,7.34,9.56,7.34,10.33,104.25,47210525,20230511
86269750,456052,468593,21,0.84,2.74,4.42,3.79,6.1,4.63,3.16,10.31,11.99,14.94,19.15,15.99,13.47,19.15,1.26,1.68,5.26,4.21,6.73,3.16,4.42,7.79,11.99,15.36,12.42,13.68,15.99,19.15,253.78,47210610,20230517
86281938,456102,468543,19,1.21,2.67,5.35,4.62,8.75,7.53,6.08,10.45,13.85,24.55,23.82,20.9,17.01,22.61,1.46,3.16,7.29,5.59,8.26,5.83,3.89,5.1,12.64,18.72,14.83,20.17,15.07,28.68,320.09,47210610,20230523
86281938,456102,468543,23,1.69,1.21,5.55,1.69,6.03,4.34,5.07,10.37,11.82,15.92,14.23,10.61,11.34,19.78,0.96,1.69,4.82,5.55,4.82,2.89,3.14,5.07,9.41,11.82,11.34,13.99,12.54,20.02,227.71,47210610,20230528
86281939,456102,468593,2,1.39,1.59,5.97,3.19,4.38,4.38,3.98,5.18,6.77,6.97,4.38,3.98,3.78,4.98,1.39,1.79,2.59,3.98,2.59,3.19,2.59,3.78,4.38,4.78,5.38,3.78,3.78,4.78,109.7,47210610,20230507
86294126,456152,468493,18,1.44,1.44,4.32,4.32,8.02,6.17,4.94,9.46,12.55,18.72,20.57,14.61,14.61,22.42,1.44,2.88,7.2,4.94,5.35,4.11,3.29,6.79,9.87,14.81,11.73,15.63,14.61,20.57,266.81,47210610,20230503
86294126,456152,468493,21,0.62,2.47,5.35,4.94,7.61,5.97,4.11,8.23,11.31,16.05,15.43,13.78,11.52,18.92,0.62,1.85,4.11,6.79,6.38,3.09,4.32,7.82,10.08,13.58,12.55,16.05,14.4,19.54,247.49,47210610,20230524
86294127,456152,468543,23,0.81,1.83,5.69,4.07,5.9,3.66,3.86,7.12,8.95,14.03,16.27,11.8,11.8,17.91,1.22,1.63,4.07,5.9,8.14,2.03,3.86,4.47,6.92,12.0,10.98,14.24,11.19,18.31,218.66,47210610,20230526
86294129,456152,468643,17,1.39,3.33,4.17,3.33,6.11,8.33,3.33,14.16,16.38,23.05,26.93,14.16,15.55,28.88,1.95,2.78,6.66,4.44,6.39,6.66,4.72,8.33,12.5,17.22,15.83,16.38,16.94,30.26,320.16,47210610,20230509
85757809,453952,468443,18,0.21,1.93,12.02,6.87,6.44,4.94,3.44,5.15,2.36,4.72,2.58,3.86,0.86,0.64,0.21,5.15,9.66,6.23,5.8,3.86,3.44,4.72,3.86,4.72,2.36,2.79,1.72,1.28,111.82,47210620,20230529
85757809,453952,468443,18,1.05,1.88,8.14,5.43,6.47,3.55,2.71,4.38,5.01,4.18,1.04,1.25,0.21,1.26,0.21,2.92,6.05,8.14,5.64,3.34,3.34,5.64,5.85,4.59,3.34,2.51,1.25,0.84,100.22,47210620,20230501
