동,면적(km^2),평당 평균 전세,면적당 PC방 수,면적당 노래방 수,면적당 영화관 수,면적당 미술관+박물관 수,면적당 학교 수,면적당 도서관 수,면적당 어린이집+유치원 수,면적당 스터디 카페 수,면적당 학원 수,면적당 키즈카페 수,면적당 카페 수,면적당 편의점 수,면적당 슈퍼마켓 수,면적당 복지센터 수 ,면적당 보건소 수,면적당 대형 병원 수,면적당 소형 병원 수,면적당 운동장 수,면적당 체육관 수,면적당 약국수,면적당 정류장 수,청년경제지수,청년 인구비율,
가흥 1동,6.5,669.9,0.461538462,0.461538462,0,0,0.153846154,0.153846154,1.846153846,1.230769231,4.923076923,0.615384615,8.615384615,4.153846154,5.076923077,0.923076923,0,0,0.615384615,0.307692308,0.307692308,0.461538462,4.615384615,16.604886,30.44407043,
가흥 2동,17.14,669.9,0,0.175029172,0,0,0.0583430572,0.175029172,0.4084014,0,0.350058343,0.175029172,1.225204201,0.641773629,1.283547258,0.116686114,0,0,0.233372229,0,0.233372229,0.116686114,2.917152859,14.4795232,26.78710938,
영주 1동,1.02,298.4,3.921568627,5.882352941,0.980392157,0,3.921568627,0,3.921568627,0,4.901960784,0,16.66666667,4.901960784,22.54901961,0.980392157,0,1.960784314,30.39215686,3.921568627,0,9.803921569,13.7254902,9.10921125,16.49257834,
영주 2동,0.8,369.7,2.5,2.5,0,0,1.25,0,3.75,0,0,0,18.75,5,12.5,2.5,0,0,25,2.5,1.25,6.25,21.25,8.695180199,16.13601906,
휴천 1동,5.23,585,0.191204589,0.382409178,0,0,0.956022945,0.382409178,0.764818356,0,0.956022945,0,0.573613767,0.764818356,2.103250478,0.573613767,0,0,0.382409178,0,0,0,3.824091778,13.646364,26.754735,
휴천 2동,1.58,360.8,1.265822785,9.493670886,0,0,1.265822785,0,3.797468354,0.632911392,1.898734177,0.632911392,17.08860759,6.329113924,10.12658228,1.898734177,0.632911392,0,6.329113924,0,1.265822785,3.797468354,15.18987342,12.146265,23.63297432,
휴천 3동,9.92,297.9,0,0.201612903,0,0,0.100806452,0,0.705645161,0,0.403225806,0,0.302419355,0.504032258,1.713709677,0.302419355,0,0,0.100806452,0,0,0,1.512096774,11.534496,21.79047096,
상망동,16.38,457.5,0,0.0610500611,0,0,0.0610500611,0.0610500611,0.122100122,0.0610500611,0,0,0.122100122,0.183150183,0.854700855,0,0,0,0.0610500611,0,0,0.122100122,1.343101343,11.962343,23.1356756,
하망동,1.98,535.6,0.505050505,1.515151515,0,0,2.525252525,0,3.535353535,0,2.525252525,0,7.070707071,4.04040404,10.60606061,2.02020202,0,0,16.66666667,0,2.525252525,4.04040404,7.070707071,11.3254773,21.73390558,
풍기읍,75.98,352.8,0.0263227165,0.0789681495,0.0131613583,0.0131613583,0.0789681495,0.0263227165,0.0789681495,0,0.0658067913,0.0131613583,0.500131614,0.0921295078,0.460647539,0.0131613583,0.0131613583,0,0.0789681495,0,0.0394840748,0.052645433,1.066070018,10.5486177,20.57061341,
완주_삼례읍,28.61,739.2,0.209716882,0.209716882,0,0.104858441,0.27962251,0.104858441,0.734009088,0,0.629150647,0.0699056274,1.642782244,0.66410346,1.468018175,0.454386578,0.0699056274,0,1.153442852,0.0349528137,0.349528137,0.419433764,3.355470115,15.80814,28.18658019,
완주_봉동읍,46.07,626,0.108530497,0.108530497,0.0217060994,0,0.151942696,0.0868243977,0.955068374,0.0868243977,0.607770784,0.0217060994,1.258953766,0.412415889,0.976774474,0.195354895,0.0651182982,0,0.173648795,0,0,0.325591491,3.668330801,15.682366,27.95083962,
