id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86013756,455002,467343,10,0.35,0.88,7.25,13.26,1.94,1.59,1.24,1.77,0.88,2.3,1.06,0.18,0.35,0.18,0.71,1.06,7.42,8.13,2.3,2.47,1.41,1.94,3.71,2.12,2.65,1.41,0.18,0.18,68.92,47210600,20230406
86294127,456152,468543,18,0.41,2.64,5.29,5.29,8.75,6.51,2.85,6.91,8.95,12.41,15.25,14.44,11.19,22.38,1.42,2.64,5.9,5.69,6.1,2.24,4.68,3.86,8.95,13.22,13.83,12.61,12.0,16.87,233.28,47210610,20230409
86269750,456052,468593,20,1.27,2.11,8.03,8.24,6.34,5.92,7.18,10.77,13.52,17.75,18.38,14.58,13.94,20.07,2.96,5.07,5.92,6.76,6.13,3.8,6.55,8.66,8.87,15.42,11.62,12.68,16.06,21.34,279.94,47210610,20230401
86294129,456152,468643,18,0.56,3.64,7.28,7.28,12.04,8.96,3.92,9.52,12.32,17.08,21.0,19.88,15.4,30.8,1.96,3.64,8.12,7.84,8.4,3.08,6.44,5.32,12.32,18.2,19.04,17.36,16.52,23.24,321.16,47210610,20230409
86294129,456152,468643,19,1.12,4.49,8.97,7.01,7.85,5.61,5.05,10.38,13.74,21.59,22.43,15.7,16.83,24.68,1.12,4.49,7.29,7.57,7.85,5.89,6.17,8.97,11.78,19.07,17.95,16.26,15.98,27.76,323.6,47210610,20230416
86294129,456152,468643,22,1.68,2.52,5.31,7.27,6.43,6.71,6.43,12.02,10.06,18.45,20.96,15.65,15.65,24.88,1.68,2.24,6.15,5.59,8.11,3.35,3.91,6.43,10.34,18.73,13.98,19.85,17.61,27.96,299.95,47210610,20230424
86281939,456102,468593,19,1.21,1.61,3.83,5.05,7.47,5.25,3.23,6.66,11.5,16.55,15.74,15.54,11.71,17.36,0.81,2.02,4.84,6.66,6.66,3.43,3.83,6.46,9.08,12.92,10.9,13.32,13.52,21.6,238.76,47210610,20230427
85757809,453952,468443,19,1.71,5.57,10.06,12.2,7.28,6.21,1.93,5.14,6.21,4.92,4.49,2.78,1.93,1.28,0.86,5.99,8.99,7.71,6.42,4.71,3.21,6.42,6.64,7.28,5.14,2.78,2.57,0.86,141.29,47210620,20230414
86062510,455202,467243,14,0.53,1.77,7.07,10.96,2.65,1.24,1.06,1.24,1.24,1.41,1.77,0.71,0.0,0.35,0.53,1.94,9.72,11.13,2.3,2.65,0.35,1.94,3.18,2.3,1.59,0.53,0.71,1.23,72.1,47210600,20230417
86269750,456052,468593,18,2.32,2.53,5.48,6.75,9.91,6.54,4.01,6.75,9.91,14.34,20.46,14.97,14.55,18.34,1.48,2.95,4.43,4.85,5.27,2.74,4.85,5.48,8.44,13.5,12.65,12.02,14.76,18.99,249.27,47210610,20230408
86294129,456152,468643,18,2.23,4.73,7.51,8.34,12.51,8.07,8.34,9.73,18.08,18.91,30.31,23.92,21.41,29.48,1.39,3.34,7.79,8.9,8.34,8.34,6.4,10.85,13.91,20.86,19.75,18.91,15.57,24.75,372.67,47210610,20230430
86281938,456102,468543,11,1.71,2.92,1.22,4.86,8.03,5.59,6.32,10.95,12.4,16.3,21.16,13.38,9.49,23.59,2.19,3.89,3.89,5.11,7.54,5.11,5.35,8.51,9.0,16.05,11.67,16.78,14.35,21.16,268.52,47210610,20230412
86281938,456102,468543,13,2.2,3.17,7.07,6.34,9.02,3.9,5.12,6.34,11.95,10.97,19.27,14.88,12.44,21.21,1.95,2.44,4.63,5.61,4.88,5.12,3.41,4.88,10.24,13.66,7.56,14.88,9.02,18.3,240.46,47210610,20230408
86013756,455002,467343,11,0.53,0.71,6.01,8.48,2.65,2.12,1.06,0.53,1.24,1.41,1.77,0.88,0.35,0.18,0.53,1.06,9.01,10.6,3.53,2.3,1.94,2.3,3.53,2.47,1.77,0.53,0.0,1.59,69.08,47210600,20230404
