id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86269750,456052,468593,19,1.05,2.32,4.21,5.06,10.32,4.84,4.84,5.9,14.53,14.53,18.75,16.43,14.75,20.64,0.84,3.16,3.37,6.95,7.37,5.27,4.0,5.9,12.22,14.96,16.64,15.8,13.9,23.18,271.73,47210610,20230816
86281938,456102,468543,15,1.21,3.15,4.61,2.67,5.57,4.12,2.42,8.0,14.3,14.3,18.66,15.76,15.27,23.76,1.21,1.21,5.33,6.06,8.48,4.85,4.85,6.79,10.67,14.3,15.03,14.3,12.12,20.35,259.35,47210610,20230815
86294126,456152,468493,16,1.24,1.65,2.47,5.55,7.41,6.17,3.29,10.08,10.9,15.22,18.31,12.75,16.46,21.18,0.42,2.47,5.97,4.94,4.94,3.09,3.7,4.32,11.52,14.61,15.43,13.99,14.19,20.77,253.04,47210610,20230829
86294126,456152,468493,17,1.85,3.5,4.73,4.32,6.38,3.91,4.32,9.87,10.29,12.75,16.87,13.78,12.34,18.31,1.65,1.44,5.14,5.97,5.97,3.5,4.73,5.97,10.9,11.52,11.93,15.43,12.14,21.6,241.11,47210610,20230815
86294127,456152,468543,16,1.22,3.05,4.88,4.68,5.7,4.27,3.66,9.15,9.76,14.03,18.71,13.83,10.37,16.68,1.83,0.81,5.29,6.92,5.29,3.86,4.27,5.7,10.37,12.61,13.63,18.31,10.78,18.51,238.17,47210610,20230807
86294129,456152,468643,9,0.56,1.11,4.17,5.28,8.05,6.11,6.39,9.72,13.89,23.33,20.55,18.89,13.05,19.44,1.11,2.22,1.94,3.89,4.17,4.44,3.89,5.55,11.11,15.28,15.28,16.39,13.05,18.05,266.91,47210610,20230807
86281938,456102,468543,11,1.46,1.7,3.64,4.13,10.44,6.07,5.1,8.98,11.17,19.18,21.61,14.81,12.14,19.67,0.73,2.19,4.61,3.16,5.1,1.94,2.91,7.04,13.84,14.57,12.63,12.87,14.81,22.57,259.07,47210610,20230810
86281939,456102,468593,15,2.63,1.82,0.81,4.87,5.68,5.88,2.64,8.11,13.18,11.56,20.89,13.79,12.57,19.87,2.02,2.03,6.29,4.26,5.47,3.04,4.46,5.27,13.59,13.18,14.19,13.59,9.73,19.06,240.48,47210610,20230831
86294129,456152,468643,8,1.39,1.95,1.12,3.07,9.48,6.97,7.81,10.32,11.99,22.03,27.05,15.62,11.44,25.67,1.12,1.12,3.9,3.9,7.25,4.46,3.63,6.69,11.99,14.5,13.11,15.62,10.04,17.57,270.81,47210610,20230808
86294129,456152,468643,14,0.84,1.96,5.04,7.0,7.57,4.2,4.48,12.33,15.69,21.01,28.58,14.85,19.33,24.1,0.84,2.8,5.88,3.64,7.57,4.48,3.92,11.21,14.29,15.69,15.97,19.61,16.81,26.33,316.02,47210610,20230810
86294129,456152,468643,21,2.49,4.71,9.14,5.82,8.31,9.14,4.71,11.36,15.79,21.06,27.16,15.79,15.24,25.78,1.66,2.49,8.04,4.99,7.2,4.71,6.93,7.76,18.01,17.46,17.46,23.83,17.46,19.4,333.9,47210610,20230826
86269750,456052,468593,13,1.47,2.1,6.3,3.36,7.78,5.46,2.94,6.09,10.3,11.98,14.5,12.82,10.93,15.75,1.47,1.89,5.46,5.04,7.14,3.78,6.3,2.94,10.72,9.04,14.29,12.61,12.19,14.91,219.56,47210610,20230827
